"","Player","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS","Rost%","POSRANK","POS","Rscaled","HRscaled","RBIscaled","SBscaled","OBPscaled","RSGP","HRSGP","RBISGP","SBSGP","totalScaled","IP","K","SV","BS","HD","ERA","WHIP","ER","G","W","L","Hits","Walks","ERAscaled","WHIPscaled","Kscaled","SVscaled","SVSGP","GS","QS","CG","QSscaled","KSGP","QSSGP","calcOBP","OBPSGP","totalSGP","Jenks","OverallRank","label","Tier"
"1","Aaron Judge (NYY - LF,CF,RF,DH)",520,110,46,114,9,0.292,0.417,152,26,1,112,160,0.61,1.026,"99%",1,"of",2.77871592286835,3.25367263777043,3.04296003143047,-0.532695734976157,3.64216911106878,5.68075117370892,5.66417910447761,6.72506256703611,0.64932225623087,12.1848219681619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417721518987342,1.91550350099669,20.6348186024502,"10",1,"Aaron Judge (NYY - LF,CF,RF,DH) as OF. Total: 20.63",1
"2","Juan Soto (NYM - LF,RF)",543,109,37,99,21,0.273,0.408,148,25,1,123,121,0.532,0.94,"99%",2,"of",2.70109815965973,2.05983818127924,1.96353164190277,0.783376080847289,3.29249423451082,5.62910798122066,4.55597014925373,5.84018591347873,1.5150852645387,10.8003382981999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406906906906907,1.70385074003057,19.2442000485224,"10",2,"Juan Soto (NYM - LF,RF) as OF. Total: 19.24",1
"3","Kyle Schwarber (PHI - LF,DH)",556,98,42,103,6,0.231,0.346,129,20,1,98,189,0.497,0.844,"99%",8,"of",1.84730276436499,2.72307954599657,2.25137921244349,-0.861713688932018,0.883622862667097,5.06103286384976,5.17164179104477,6.07615302109403,0.432881504153913,6.84367069654013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347094801223242,-0.134318969304554,16.6073902108379,"9",3,"Kyle Schwarber (PHI - LF,DH) as OF. Total: 16.61",2
"4","Bobby Witt Jr. (KC - SS)",604,101,29,93,34,0.292,0.345,177,38,6,49,114,0.518,0.863,"99%",1,"ss",2.08505623020969,1.74431810580818,2.11846978175458,1.64876202232509,1.16867894836081,5.21596244131455,3.57089552238806,5.48623525205577,2.45299519020551,8.76528508845834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346094946401225,-0.164999005067235,16.5610894008967,"9",4,"Bobby Witt Jr. (KC - SS) as SS. Total: 16.56",2
"5","Ronald Acuna Jr. (ATL - RF)",540,106,30,80,25,0.282,0.384,152,25,2,88,131,0.504,0.888,"99%",3,"of",2.4682448700339,1.13130027067498,0.59625568183435,1.22206668612177,2.36002789702293,5.47417840375587,3.69402985074627,4.71934215230604,1.80367293397464,7.77789540568793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382165605095541,0.86856680009002,16.5597901408728,"9",5,"Ronald Acuna Jr. (ATL - RF) as OF. Total: 16.56",2
"6","Kyle Tucker (LAD - RF,DH)",530,95,30,93,21,0.27,0.368,143,28,2,82,91,0.5,0.867,"99%",5,"of",1.61444947473915,1.13130027067498,1.53176028609169,0.783376080847289,1.738383672031,4.90610328638498,3.69402985074627,5.48623525205577,1.5150852645387,6.79926978438411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367647058823529,0.423381811675212,16.0248354654009,"9",6,"Kyle Tucker (LAD - RF,DH) as OF. Total: 16.02",2
"7","Jose Ramirez (CLE - 3B,DH)",580,91,28,89,33,0.274,0.344,159,33,3,62,76,0.483,0.827,"99%",1,"3b",2.29135881079891,1.19094879572604,1.49085261692598,2.79333788584222,1.99273787821392,4.69953051643192,3.44776119402985,5.25026814444047,2.38084827284652,9.75923598750708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344236760124611,-0.226277034104249,15.5521310936445,"8",7,"Jose Ramirez (CLE - 3B,DH) as 3B. Total: 15.55",3
"8","Vladimir Guerrero Jr. (TOR - 1B,DH)",579,94,30,97,5,0.295,0.375,171,32,1,74,91,0.513,0.888,"99%",1,"1b",2.14222643378246,0.988091700868644,1.54125282554493,0.145533367996835,2.29488791837063,4.85446009389671,3.69402985074627,5.72220235967107,0.360734586794928,7.1119922465635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375191424196018,0.710173335489209,15.3416002265982,"8",8,"Vladimir Guerrero Jr. (TOR - 1B,DH) as 1B. Total: 15.34",3
"9","Cal Raleigh (SEA - C,DH)",542,87,40,101,8,0.233,0.326,126,23,0,76,168,0.497,0.823,"99%",1,"c",2.41563573420732,3.02345358354725,2.60623777700451,1.25381219811525,0.352430850746214,4.49295774647887,4.92537313432836,5.95816946728638,0.577175338871884,9.65157014362054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326860841423948,-0.735613662086791,15.2180620248787,"8",9,"Cal Raleigh (SEA - C,DH) as C. Total: 15.22",3
"10","Julio Rodriguez (SEA - CF)",608,94,30,94,27,0.272,0.324,165,29,3,47,146,0.478,0.802,"99%",4,"of",1.53683171153054,1.13130027067498,1.60372217872687,1.44141198875901,0.0288620533031972,4.85446009389671,3.69402985074627,5.5452270289596,1.94796676869261,5.7421282029946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323664122137405,-0.840391844994686,15.2012918973005,"8",10,"Julio Rodriguez (SEA - CF) as OF. Total: 15.2",3
"11","Gunnar Henderson (BAL - SS)",583,98,27,87,23,0.273,0.347,159,33,4,67,140,0.483,0.83,"99%",2,"ss",1.83146831031932,1.43467583850495,1.5917783995504,0.57982004321452,1.27074697878534,5.06103286384976,3.32462686567164,5.13228459063282,1.65937909925667,6.70848957037453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347692307692308,-0.118846303637366,15.0584771157735,"8",11,"Gunnar Henderson (BAL - SS) as SS. Total: 15.06",3
"12","Elly De La Cruz (CIN - SS)",585,94,24,82,41,0.261,0.333,153,31,6,63,174,0.457,0.79,"99%",3,"ss",1.49335108379883,0.970212437550112,1.15286891438025,2.32899782721363,0.556270765813664,4.85446009389671,2.95522388059701,4.83732570611369,2.95802361171841,6.50170102875649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,-0.549051785498556,15.0559815068273,"8",12,"Elly De La Cruz (CIN - SS) as SS. Total: 15.06",3
"13","Fernando Tatis Jr. (SD - RF)",566,97,28,81,25,0.27,0.35,153,28,2,71,128,0.481,0.831,"99%",6,"of",1.76968500115638,0.866003724788053,0.66821757446953,1.22206668612177,1.03903391891508,5.0093896713615,3.44776119402985,4.77833392920987,1.80367293397464,5.56500690545081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351648351648352,-0.0106875132045203,15.0284702153713,"8",13,"Fernando Tatis Jr. (SD - RF) as OF. Total: 15.03",3
"14","Corbin Carroll (ARI - CF,RF)",538,98,25,81,33,0.259,0.339,140,27,10,65,128,0.493,0.832,"99%",7,"of",1.84730276436499,0.468058905957657,0.66821757446953,2.09944789667073,0.61165351423313,5.06103286384976,3.07835820895522,4.77833392920987,2.38084827284652,5.69468065569604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339966832504146,-0.365126368654084,14.9334469062073,"8",14,"Corbin Carroll (ARI - CF,RF) as OF. Total: 14.93",3
"15","Nick Kurtz (ATH - 1B)",515,91,37,94,3,0.261,0.347,134,27,2,69,174,0.527,0.874,"98%",2,"1b",1.8414458112545,1.98568428347641,1.29574352590061,-0.400216761991296,0.943060533075167,4.69953051643192,4.55597014925373,5.5452270289596,0.216440752076957,5.66571739171538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347602739726027,-0.163416322662384,14.8537521240598,"8",15,"Nick Kurtz (ATH - 1B) as 1B. Total: 14.85",3
"16","Junior Caminero (TB - 3B)",583,83,37,104,6,0.268,0.318,156,27,1,43,123,0.508,0.826,"99%",2,"3b",1.52544500217532,2.49808771786439,2.60527733057497,-0.30611922036627,0.106408333302685,4.28638497652582,4.55597014925373,6.13514479799785,0.432881504153913,6.4290991635511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317891373801917,-0.997225977333015,14.4131554505983,"8",16,"Junior Caminero (TB - 3B) as 3B. Total: 14.41",3
"17","Pete Alonso (BAL - 1B)",582,85,36,104,2,0.254,0.325,148,29,1,60,150,0.498,0.823,"99%",3,"1b",1.23988456619858,1.84317105738959,2.11410785804836,-0.673091826985361,-0.119089555371267,4.38967136150235,4.43283582089552,6.13514479799785,0.144293834717971,4.4049820992799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32398753894081,-0.826174137068292,14.2757716780454,"8",17,"Pete Alonso (BAL - 1B) as 1B. Total: 14.28",3
