"Player","IP","K","SV","BS","HD","ERA","WHIP","ER","G","W","L","Rost%","POSRANK","Hits","Walks","POS","ERAscaled","WHIPscaled","Kscaled","SVscaled","SVSGP","GS","QS","CG","QSscaled","KSGP","QSSGP"
"Mason Miller (SD - RP)",65.3,101,33,2,2,2.51,0.99,18,63,4,2,"99%",1,40,25,"c",2.22204632576473,2.65167902732786,0.382896399703553,1.25749181216641,4.27394034536892,NA,NA,NA,NA,NA,NA
"Edwin Diaz (LAD - RP)",65,90,37,2,2,3.02,1.06,22,64,5,2,"99%",2,47,22,"c",1.133697104982,1.71184342270533,-0.043621108826987,1.55207261735912,4.79199372056515,NA,NA,NA,NA,NA,NA
"Cade Smith (CLE - RP)",69,89,31,2,2,2.88,1.07,22,69,5,3,"99%",3,53,21,"c",1.43245963617726,1.57758119347354,-0.0823954277843088,1.11020140957005,4.0149136577708,NA,NA,NA,NA,NA,NA
"Jhoan Duran (PHI - RP)",66.5,77,32,2,2,2.88,1.12,21,68,5,3,"99%",4,54,21,"c",1.43245963617726,0.906270047314583,-0.547687255272171,1.18384661086823,4.14442700156986,NA,NA,NA,NA,NA,NA
"Andres Munoz (SEA - RP)",62.8,79,32,2,2,2.91,1.12,20,63,4,3,"99%",5,45,25,"c",1.36843909377828,0.906270047314583,-0.470138617357527,1.18384661086823,4.14442700156986,NA,NA,NA,NA,NA,NA
"Devin Williams (NYM - RP)",63.3,84,31,1,3,3.09,1.14,22,64,4,3,"96%",6,46,27,"c",0.984315839384375,0.637745588851005,-0.276267022570918,1.11020140957005,4.0149136577708,NA,NA,NA,NA,NA,NA
"David Bednar (NYY - RP)",62.7,76,33,2,2,3.25,1.12,23,64,4,3,"96%",7,49,21,"c",0.642872946589795,0.906270047314583,-0.586461574229492,1.25749181216641,4.27394034536892,NA,NA,NA,NA,NA,NA
"Aroldis Chapman (BOS - RP)",60,83,31,1,2,3,1.15,20,62,4,3,"98%",8,42,26,"c",1.17637746658133,0.503483359619215,-0.31504134152824,1.11020140957005,4.0149136577708,NA,NA,NA,NA,NA,NA
"Cody Ponce (TOR - SP,RP)",145,149,0,0,1,4.07,1.25,66,39,8,8,"14%",9,135,46,"c",-1.10702187898243,-0.839138932698689,2.244063709655,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Josh Hader (HOU - RP) IL15",54.9,75,27,1,2,3.2,1.07,20,54,4,3,"92%",10,38,21,"c",0.749573850588101,1.57758119347354,-0.625235893186814,0.815620604377332,3.49686028257457,NA,NA,NA,NA,NA,NA
"Sean Manaea (NYM - SP,RP)",126.9,132,0,0,0,4.07,1.21,57,35,8,7,"20%",11,113,40,"c",-1.10702187898243,-0.302090015771528,1.58490028738053,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Griffin Jax (TB - RP)",66,83,16,2,12,3.02,1.08,22,67,4,3,"66%",12,53,19,"c",1.133697104982,1.44331896424174,-0.31504134152824,0.00552339009736337,2.07221350078493,NA,NA,NA,NA,NA,NA
"Ryne Nelson (ARI - SP,RP)",156.4,129,0,0,0,4.19,1.26,73,33,9,8,"39%",13,154,43,"c",-1.36310404857836,-0.97340116193048,1.46857733050856,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Raisel Iglesias (ATL - RP)",64.8,69,27,1,4,3.62,1.14,26,66,4,3,"93%",14,56,17,"c",-0.146713742997671,0.637745588851005,-0.857881806930745,0.815620604377332,3.49686028257457,NA,NA,NA,NA,NA,NA
"Reid Detmers (LAA - RP)",136.4,150,0,0,0,4.2,1.28,64,31,8,8,"13%",15,124,50,"c",-1.38444422937802,-1.24192562039406,2.28283802861232,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Grant Taylor (CWS - RP)",84.5,100,5,0,13,3.27,1.19,31,70,5,4,"8%",16,69,32,"c",0.600192584990472,-0.0335655573079469,0.344122080746231,-0.804573824182605,0.647566718995291,NA,NA,NA,NA,NA,NA
"Ryan Helsley (BAL - RP)",62.8,71,28,2,2,3.5,1.21,24,62,4,3,"85%",17,52,23,"c",0.109368426598264,-0.302090015771528,-0.780333169016101,0.889265805675511,3.62637362637363,NA,NA,NA,NA,NA,NA
"Jeff Hoffman (TOR - RP)",62.6,75,26,2,3,3.63,1.17,25,64,4,3,"86%",18,50,23,"c",-0.168053923797332,0.234958901155634,-0.625235893186814,0.741975403079153,3.36734693877551,NA,NA,NA,NA,NA,NA
"Abner Uribe (MIL - RP)",69.3,81,17,1,12,3.12,1.2,24,69,4,3,"65%",19,53,31,"c",0.920295296985391,-0.167827786539737,-0.392589979442883,0.0791685913955423,2.20172684458399,NA,NA,NA,NA,NA,NA
"Joey Cantillo (CLE - SP,RP)",132.4,140,0,0,1,3.89,1.31,57,43,7,7,"13%",20,116,57,"c",-0.722898624588525,-1.64471230808943,1.8950948390391,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Daniel Palencia (CHC - RP)",64.1,73,30,2,3,3.64,1.24,26,63,4,3,"79%",21,53,27,"c",-0.189394104596994,-0.704876703466899,-0.702784531101458,1.03655620827187,3.88540031397174,NA,NA,NA,NA,NA,NA
"Mike Burrows (HOU - SP,RP)",131.4,131,0,0,0,4.14,1.26,60,30,7,7,"19%",22,121,45,"c",-1.25640314458005,-0.97340116193048,1.54612596842321,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Ryan Walker (SF - RP)",62.5,66,25,1,4,3.49,1.2,24,62,4,3,"56%",23,55,20,"c",0.130708607397925,-0.167827786539737,-0.97420476380271,0.668330201780974,3.23783359497645,NA,NA,NA,NA,NA,NA
"Braxton Ashcraft (PIT - SP,RP)",131.9,119,0,0,1,3.93,1.29,58,37,7,7,"18%",24,129,42,"c",-0.80825934778717,-1.37618784962585,1.08083414093535,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Bryan Abreu (HOU - RP)",67.6,90,8,2,16,3.17,1.17,24,67,4,3,"66%",25,51,28,"c",0.813594392987085,0.234958901155634,-0.043621108826987,-0.583638220288068,1.03610675039246,NA,NA,NA,NA,NA,NA
"Trevor Megill (MIL - RP)",62.5,76,17,2,7,3.43,1.17,24,62,4,3,"86%",26,51,23,"c",0.258749692195892,0.234958901155634,-0.586461574229492,0.0791685913955423,2.20172684458399,NA,NA,NA,NA,NA,NA
"Emilio Pagan (CIN - RP)",65.4,72,27,2,4,3.95,1.18,29,66,3,3,"87%",27,55,22,"c",-0.850939709386492,0.100696671923844,-0.74155885005878,0.815620604377332,3.49686028257457,NA,NA,NA,NA,NA,NA
"Foster Griffin (WSH - RP)",133.8,123,0,0,0,4.15,1.28,62,29,7,8,"1%",28,128,42,"c",-1.27774332537972,-1.24192562039406,1.23593141676463,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Ian Seymour (TB - SP,RP)",113.3,110,0,0,1,4.04,1.22,51,38,6,6,"14%",29,103,35,"c",-1.04300133658344,-0.436352245003318,0.731865270319449,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Quinn Priester (MIL - SP,RP)",135,112,0,0,0,4.12,1.3,62,24,8,8,"28%",30,131,44,"c",-1.21372278298073,-1.51045007885764,0.809413908234093,-1.1727998306735,0,NA,NA,NA,NA,NA,NA
"Pete Fairbanks (MIA - RP)",60.1,62,26,2,3,3.55,1.21,24,61,3,3,"84%",31,52,21,"c",0.00266752259995807,-0.302090015771528,-1.129302039632,0.741975403079153,3.36734693877551,NA,NA,NA,NA,NA,NA
