Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
"Aaron Judge (NYY - LF,CF,RF,DH)",528,107,48,119,8,0.285,0.408,151,26,1,110,167,0.613,1.021,1,of,2.65,3.64,3.44,-0.77,3.25,,,,,,7.265432099,6.449511401,8.634564644,0.800970874,12.20631144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mookie Betts (LAD - 2B,SS,RF)",563,101,27,90,15,0.279,0.364,157,33,3,76,90,0.494,0.859,1,2b,2.73,2.04,2.63,0.05,2.50,,,,,,6.858024691,3.627850163,6.530343008,1.501820388,9.950947326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarik Skubal (DET - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,c,,,,,,2.64,2.45,2.22,1.88,0.00,NA,NA,NA,NA,9.194001668,190.4,221,14,8,2.88,1.01,61,31,31,20,0,0,150,41,0,4.246535461,4.150943396,NA,NA
"Juan Soto (NYM - LF,RF)",531,107,34,96,9,0.277,0.417,147,28,2,127,111,0.529,0.946,2,of,2.65,1.71,1.76,-0.66,3.60,,,,,,7.265432099,4.568403909,6.965699208,0.901092233,9.059329559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bobby Witt Jr. (KC - SS),604,104,30,95,34,0.296,0.348,179,36,8,48,109,0.534,0.881,1,ss,2.09,1.66,1.97,1.43,1.44,,,,,,7.061728395,4.030944625,6.893139842,3.404126214,8.578045072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Ramirez (CLE - 3B,DH)",586,93,29,94,29,0.274,0.342,161,36,3,60,79,0.497,0.839,1,3b,2.01,1.17,1.48,2.25,1.41,,,,,,6.314814815,3.896579805,6.820580475,2.903519417,8.317163311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Skenes (PIT - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,c,,,,,,2.79,1.92,1.87,1.57,0.00,NA,NA,NA,NA,8.148661733,172,211,12,7,2.83,1.05,54,30,30,19,0,0,132,48,0,4.054384535,3.943396226,NA,NA
"Vladimir Guerrero Jr. (TOR - 1B,3B,DH)",586,94,31,99,5,0.298,0.371,174,35,1,68,94,0.523,0.895,2,3b,2.11,1.46,1.83,-0.49,3.06,,,,,,6.382716049,4.165309446,7.183377309,0.500606796,7.964771258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"William Contreras (MIL - C,DH)",546,81,23,83,7,0.271,0.35,148,30,1,66,132,0.457,0.808,1,c,2.19,1.03,1.66,1.33,1.70,,,,,,5.5,3.090390879,6.022427441,0.700849515,7.912579147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Harper (PHI - 1B),546,90,29,92,10,0.279,0.373,152,35,1,81,138,0.506,0.878,2,1b,1.76,1.16,1.29,1.50,2.19,,,,,,6.111111111,3.896579805,6.675461741,1.001213592,7.888001444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunnar Henderson (BAL - SS),582,104,31,90,16,0.273,0.353,159,31,6,72,150,0.51,0.862,3,ss,2.09,1.80,1.60,-0.32,1.69,,,,,,7.061728395,4.165309446,6.530343008,1.601941748,6.850504506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
